cliente_id,nome,cpf_fake,data_nascimento,sexo,cidade,estado,segmento
1,Carla Lopes,685.855.730-82,1987-11-12,F,Belo Horizonte,MG,PF
2,Vanessa Lima,462.282.311-64,1997-04-25,M,Ribeirão Preto,SP,PF
3,Mariana Fernandes,578.169.283-96,1988-10-22,F,Belo Horizonte,MG,PF
4,Carla Carvalho,752.778.277-15,1986-09-26,F,Uberaba,MG,PF
5,Gabriela Santos,361.870.555-79,1981-01-11,M,Brasília,DF,PF
6,Patrícia Barbosa,537.540.640-95,1971-01-07,M,São Paulo,SP,PF
7,Fernanda Lopes,493.635.926-43,1972-08-19,F,São Paulo,SP,PF
8,Rodrigo Lopes,855.581.890-51,1993-07-22,M,Recife,PE,PF
9,Patrícia Oliveira,665.390.670-39,1963-02-21,F,Uberaba,MG,PF
10,Marcelo Gomes,647.809.490-48,1963-10-20,F,Uberaba,MG,PF
11,Patrícia Pereira,389.756.632-55,1977-11-06,F,Recife,PE,PF
12,Fábio Vieira,122.198.106-85,1994-11-07,M,Goiânia,GO,PF
13,Gustavo Martins,865.161.141-79,1989-07-26,M,Uberlândia,MG,PF
14,Mariana Soares,571.377.652-31,1986-07-20,F,Campinas,SP,PF
15,Rafael Lima,278.430.905-78,1984-01-14,F,Goiânia,GO,PF
16,Nelson Rodrigues,270.604.895-94,1964-12-25,F,São Paulo,SP,PF
17,Carla Ribeiro,785.215.316-29,1974-12-06,F,Goiânia,GO,PF
18,Priscila Santos,235.257.384-59,1963-07-30,F,Brasília,DF,PF
19,Marcelo Soares,457.478.320-23,1994-02-12,F,São Paulo,SP,PF
20,Isabela Martins,998.638.306-82,1993-10-15,M,Rio de Janeiro,RJ,PF
21,Elaine Lopes,846.969.243-66,1971-08-13,F,Campinas,SP,PF
22,Rodrigo Pereira,981.825.302-89,1973-03-07,F,Recife,PE,PF
23,Carla Barbosa,479.539.602-78,1974-04-15,M,Belo Horizonte,MG,PF
24,Nelson Fernandes,208.584.834-58,2000-01-08,F,São Paulo,SP,PF
25,Camila Lopes,346.150.593-72,1981-12-25,F,Curitiba,PR,PF
26,Fernanda Souza,594.980.641-55,1994-04-18,F,Salvador,BA,PF
27,Karina Gomes,149.602.251-74,1980-03-13,F,Uberaba,MG,PF
28,Otávio Silva,244.915.371-48,1991-06-03,F,Recife,PE,PF
29,Rafael Souza,230.289.928-35,1983-10-11,M,Uberaba,MG,PF
30,Fernanda Carvalho,561.982.660-13,1972-07-15,F,Ribeirão Preto,SP,PF
31,Vinícius Almeida,421.447.348-31,1999-06-08,M,São Paulo,SP,PF
32,Karina Barbosa,552.438.364-46,1991-11-26,M,Campinas,SP,PF
33,Mariana Alves,408.305.507-93,1994-08-15,F,Salvador,BA,PF
34,Vinícius Pereira,554.637.984-64,2002-09-01,F,Curitiba,PR,PF
35,Carla Gomes,300.458.538-52,1971-03-13,F,Rio de Janeiro,RJ,PF
36,Gustavo Souza,234.195.414-91,1964-02-13,F,São Paulo,SP,PF
37,Nelson Oliveira,744.856.256-46,1986-03-15,M,Recife,PE,PF
38,Camila Gomes,622.490.474-42,1974-09-05,M,Campinas,SP,PF
39,João Rodrigues,146.870.938-17,1979-08-11,F,Brasília,DF,PF
40,Rafael Carvalho,471.565.804-97,1970-07-24,F,Curitiba,PR,PF
41,Aline Lima,474.773.942-83,1977-12-06,F,Brasília,DF,PF
42,Elaine Soares,361.834.470-11,1977-09-11,M,Brasília,DF,PF
43,Thiago Almeida,782.851.408-50,1975-10-11,M,Campinas,SP,PF
44,Carla Alves,427.205.994-12,1993-05-28,F,Brasília,DF,PF
45,Gustavo Soares,599.113.719-90,1986-09-02,F,Salvador,BA,PF
46,Nelson Soares,678.644.844-96,1981-05-05,F,Ribeirão Preto,SP,PF
47,Marcelo Pereira,874.308.606-82,1965-01-26,F,Goiânia,GO,PF
48,Priscila Ferreira,364.707.120-88,1985-09-07,F,Uberaba,MG,PF
49,Henrique Carvalho,652.768.842-29,1967-11-16,F,Ribeirão Preto,SP,PF
50,Vanessa Oliveira,505.871.248-83,1974-02-19,F,Rio de Janeiro,RJ,PF
51,Juliana Souza,358.617.558-71,1978-09-02,F,Brasília,DF,PF
52,Juliana Silva,852.413.254-47,1966-05-11,F,Uberaba,MG,PF
53,Gustavo Lopes,650.774.777-40,1977-07-12,M,Goiânia,GO,PF
54,Gustavo Carvalho,941.174.204-12,1972-01-05,M,Rio de Janeiro,RJ,PF
55,Otávio Almeida,932.261.640-82,1998-03-29,F,Belo Horizonte,MG,PF
56,Isabela Lopes,789.953.148-46,1998-09-08,F,Uberlândia,MG,PF
57,Rafael Gomes,555.725.659-59,1960-03-16,M,Ribeirão Preto,SP,PF
58,Patrícia Ribeiro,375.195.488-33,1987-02-09,M,Brasília,DF,PF
59,Bruno Oliveira,598.816.596-61,1988-10-28,F,São Paulo,SP,PF
60,Henrique Oliveira,137.679.495-21,1977-01-03,M,Rio de Janeiro,RJ,PF
61,Nelson Carvalho,292.801.924-55,1981-02-09,F,Salvador,BA,PF
62,Vanessa Gomes,977.261.369-92,1995-07-19,F,Goiânia,GO,PF
63,Marcelo Ribeiro,257.692.297-39,1977-01-03,M,Ribeirão Preto,SP,PF
64,Carla Lopes,529.423.886-96,1962-11-25,M,Uberlândia,MG,PF
65,Sandra Martins,549.572.149-30,1976-10-05,M,Rio de Janeiro,RJ,PF
66,Rafael Ribeiro,135.870.304-40,1971-06-05,F,Salvador,BA,PF
67,Carla Ribeiro,857.741.658-13,1977-03-22,M,Campinas,SP,PF
68,Gustavo Alves,606.604.386-76,1970-05-10,F,Goiânia,GO,PF
69,Thiago Silva,935.332.397-38,1966-09-29,M,Rio de Janeiro,RJ,PF
70,Karina Lima,850.169.905-78,2004-05-05,F,Curitiba,PR,PF
71,Bruno Rodrigues,534.624.903-78,1965-10-19,F,Belo Horizonte,MG,PF
72,Isabela Lima,348.145.691-22,1991-10-11,M,Curitiba,PR,PF
73,Bruno Fernandes,179.983.526-67,1992-04-16,M,Recife,PE,PF
74,Bruno Rodrigues,295.191.156-41,1987-10-20,M,Rio de Janeiro,RJ,PF
75,Juliana Santos,103.477.391-56,2001-01-06,F,Campinas,SP,PF
76,Marcelo Ferreira,629.377.509-16,1960-03-22,F,Goiânia,GO,PF
77,Vinícius Ferreira,371.979.991-53,1973-07-28,M,São Paulo,SP,PF
78,Nelson Carvalho,944.550.212-87,1968-04-17,M,Brasília,DF,PF
79,Diego Ribeiro,473.650.683-37,1985-12-17,F,Uberaba,MG,PF
80,Patrícia Lopes,759.550.429-36,1988-08-07,M,Ribeirão Preto,SP,PF
81,Bruno Carvalho,770.324.211-88,2000-05-28,M,São Paulo,SP,PF
82,Mariana Lima,398.676.744-84,1977-02-01,F,Ribeirão Preto,SP,PF
83,Mariana Soares,662.736.852-93,1970-08-13,M,Ribeirão Preto,SP,PF
84,João Souza,142.768.256-89,2001-08-05,M,Uberlândia,MG,PF
85,Karina Silva,143.321.272-63,1990-04-14,M,Curitiba,PR,PF
86,Diego Santos,103.115.553-96,1994-05-31,M,Campinas,SP,PF
87,Gustavo Almeida,574.500.691-59,1980-01-10,F,Recife,PE,PF
88,Camila Gomes,446.629.102-31,1980-02-18,M,Uberaba,MG,PF
89,Rodrigo Souza,705.407.148-21,1977-07-04,M,Curitiba,PR,PF
90,Vinícius Costa,878.396.120-74,1993-09-23,M,Uberaba,MG,PF
91,Aline Souza,576.505.904-37,1969-06-23,M,Goiânia,GO,PF
92,Otávio Carvalho,614.769.646-28,2003-11-23,F,Campinas,SP,PF
93,Otávio Lima,712.768.210-24,1967-12-01,F,Campinas,SP,PF
94,Elaine Pereira,706.206.891-19,1980-09-29,F,Brasília,DF,PF
95,Henrique Alves,975.703.498-33,1974-02-27,M,Rio de Janeiro,RJ,PF
96,Camila Martins,409.772.777-28,1988-11-30,M,São Paulo,SP,PF
97,Thiago Pereira,588.992.331-71,1990-08-19,M,Salvador,BA,PF
98,Aline Santos,254.849.253-36,2001-05-05,F,Uberaba,MG,PF
99,Karina Oliveira,512.433.252-67,1995-07-08,M,São Paulo,SP,PF
100,Karina Barbosa,117.984.146-39,1971-03-11,F,São Paulo,SP,PF
101,Karina Vieira,935.239.165-76,1969-04-19,F,Recife,PE,PF
102,Otávio Carvalho,165.908.505-87,1999-11-24,M,Belo Horizonte,MG,PF
103,Nelson Ferreira,320.226.965-77,1981-12-15,F,Ribeirão Preto,SP,PF
104,Fernanda Barbosa,918.387.463-61,1964-05-22,F,Campinas,SP,PF
105,Henrique Lopes,503.318.437-64,1997-02-15,F,Rio de Janeiro,RJ,PF
106,Henrique Almeida,134.402.363-16,1989-03-07,F,Campinas,SP,PF
107,Gustavo Lima,210.545.192-40,1961-02-24,F,Recife,PE,PF
108,Fernanda Ferreira,604.885.188-48,1995-03-25,M,Curitiba,PR,PF
109,Carla Santos,192.485.531-81,1987-05-02,M,Curitiba,PR,PF
110,Nelson Vieira,497.941.223-14,1987-08-29,F,Rio de Janeiro,RJ,PF
111,Diego Gomes,103.420.273-18,1998-12-03,F,Belo Horizonte,MG,PF
112,Rodrigo Rodrigues,312.976.819-11,1982-04-20,F,Campinas,SP,PF
113,Rodrigo Alves,922.284.464-39,1980-10-03,F,Brasília,DF,PF
114,Juliana Ribeiro,464.783.740-62,1987-10-13,M,Uberaba,MG,PF
115,Rafael Souza,663.754.265-45,1968-11-24,F,Belo Horizonte,MG,PF
116,Nelson Fernandes,196.733.493-66,1966-10-28,F,Belo Horizonte,MG,PF
117,Ana Lopes,607.345.224-96,1997-12-21,F,Rio de Janeiro,RJ,PF
118,Otávio Almeida,363.198.375-90,1969-09-13,F,Brasília,DF,PF
119,Vanessa Lima,334.987.514-86,1982-09-11,F,São Paulo,SP,PF
120,João Martins,687.139.557-47,1972-02-23,F,Curitiba,PR,PF
121,Elaine Ribeiro,281.594.192-72,1970-05-16,M,Curitiba,PR,PF
122,Carla Martins,838.183.530-68,1986-11-25,M,Rio de Janeiro,RJ,PF
123,Thiago Santos,155.450.332-13,1996-02-09,M,Salvador,BA,PF
124,Fernanda Lima,822.499.775-62,1979-11-20,F,Salvador,BA,PF
125,Gustavo Silva,887.996.641-41,1966-03-30,M,Uberaba,MG,PF
126,Fábio Gomes,480.842.483-56,1971-01-01,M,Rio de Janeiro,RJ,PF
127,Fábio Alves,274.990.685-39,1967-05-29,F,Ribeirão Preto,SP,PF
128,Vanessa Oliveira,625.460.239-87,1999-09-23,F,Ribeirão Preto,SP,PF
129,Camila Oliveira,896.850.431-32,1974-05-19,M,Brasília,DF,PF
130,Fábio Ribeiro,144.757.394-89,1976-10-29,F,Brasília,DF,PF
131,Gustavo Souza,882.215.924-22,1963-03-13,F,Campinas,SP,PF
132,Isabela Vieira,540.526.959-68,1980-01-27,M,Recife,PE,PF
133,Bruno Ribeiro,886.635.841-85,2001-02-16,M,Uberaba,MG,PF
134,Nelson Alves,872.470.443-97,1978-06-09,M,Belo Horizonte,MG,PF
135,Thiago Ribeiro,780.924.619-92,1989-04-22,M,Uberlândia,MG,PF
136,Isabela Silva,746.767.259-60,1968-03-09,M,Rio de Janeiro,RJ,PF
137,Elaine Barbosa,757.784.960-39,1966-06-07,M,Ribeirão Preto,SP,PF
138,Mariana Gomes,372.971.986-26,1992-12-03,F,Campinas,SP,PF
139,Otávio Lopes,440.952.279-79,1962-12-16,M,Brasília,DF,PF
140,Bruno Santos,200.260.805-64,1980-03-07,M,Campinas,SP,PF
141,Isabela Gomes,598.870.376-54,1974-04-02,M,Goiânia,GO,PF
142,Camila Gomes,646.765.398-66,1960-09-24,M,Uberlândia,MG,PF
